Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File,Segment
4551613,BEADED WIDE LEG JEANS - Light blue | ZARA United States,GENERAL,Light blue,49.9,,100.0,True,,,,,,,,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton,Bangladesh,2026-03-24,93.22,comparison_girltops,Kids
4551601,PEARL WIDE LEG JEANS - Blue | ZARA United States,GENERAL,Blue,49.9,,100.0,True,,,,,,,,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton,Bangladesh,2026-03-24,93.22,comparison_girltops,Kids
327707,ANIMAL PRINT WIDE LEG JEANS - Brown | ZARA United States,GENERAL,Brown,45.9,,100.0,True,2550.0,27.35,,100.0,,True,18.55,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Turkey,2026-03-24,93.22,comparison_girltops,Kids
1129798,WIDE LEG POLKA DOT JEANS - Sand / Black | ZARA United States,GENERAL,Sand / Black,39.9,,100.0,True,2350.0,25.21,,100.0,,True,14.69,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-03-24,93.22,comparison_girltops,Kids
4441622,HELLO KITTY © SANRIO STRAIGHT JEANS - Blue | ZARA United States,GENERAL,Blue,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,Composition: 100% cotton | 100% cotton | 30% RCS-certified recycled cotton,Bangladesh,2026-03-24,93.22,comparison_girltops,Kids
4441621,EMBROIDERED LILO & STITCH © DISNEY WIDE LEG JEANS - Blue | ZARA United States,GENERAL,Blue,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton,Bangladesh,2026-03-24,93.22,comparison_girltops,Kids
9632706,DISTRESSED WIDE LEG JEANS - Blue | ZARA United States,GENERAL,Blue,39.9,,100.0,True,2350.0,25.21,,100.0,,True,14.69,Composition: 100% cotton | 100% cotton | 20% RCS-certified recycled cotton,Egypt,2026-03-24,93.22,comparison_girltops,Kids
5359601,WIDE LEG JEANS - Light blue | ZARA United States,GENERAL,Light blue,39.9,,82.0,True,2350.0,25.21,,82.0,,True,14.69,"Composition: 82% cotton, 9% viscose, 9% lyocell | 82% cotton | 52% OCS certified organically grown cotton | 30% RCS-certified recycled cotton",Egypt,2026-03-24,93.22,comparison_girltops,Kids
4152600,WIDE LEG JEANS - White | ZARA United States,GENERAL,White,39.9,,100.0,True,2350.0,25.21,,100.0,,True,14.69,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-03-24,93.22,comparison_girltops,Kids
6045612,RIPPED WIDE LEG JEANS - Light blue | ZARA United States,GENERAL,Light blue,39.9,,100.0,True,2350.0,25.21,,100.0,,True,14.69,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Egypt,2026-03-24,93.22,comparison_girltops,Kids
6045602,WIDE LEG JEANS - Gray marl | ZARA United States,GENERAL,Gray marl,39.9,,100.0,True,2350.0,25.21,,100.0,,True,14.69,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Egypt,2026-03-24,93.22,comparison_girltops,Kids
4551713,WIDE LEG JEANS - Gray | ZARA United States,GENERAL,Gray,39.9,,100.0,True,2350.0,25.21,,100.0,,True,14.69,Composition: 100% cotton | 100% cotton | 78% OCS certified organically grown cotton | 20% RCS-certified recycled cotton,Egypt,2026-03-24,93.22,comparison_girltops,Kids
1341484,FLORAL PRINT DRESS - Ecru | ZARA United States,GENERAL,Ecru,49.9,,100.0,True,2950.0,31.65,,100.0,,True,18.25,100% cotton | 100% OCS certified organically grown cotton,Morocco,2026-03-24,93.22,comparison_girldresses,Kids
1187492,FLOWER APPLIQUÉ DRESS - Pastel yellow | ZARA United States,GENERAL,Pastel yellow,49.9,,75.0,True,,,,,,,,75% polyester | 100% cotton | 75% RCS-certified recycled polyester | 100% OCS certified organically grown cotton,Morocco,2026-03-24,93.22,comparison_girldresses,Kids
