Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File
2100090,ZW COLLECTION COMBINATION MIDI SKIRT - Ecru | ZARA United States,GENERAL,Ecru,99.9,,86.0,True,5550.0,59.04,,86.0,,True,40.86,14% polyester | 31% polyester | 31% RCS-certified recycled polyester,Morocco,3/22/26,94.01,March22_1AM
2700776,ZW COLLECTION DOUBLE BREASTED BLAZER WITH SHOULDER PADS - Ecru | ZARA United States,GENERAL,Ecru,179.0,,60.0,True,10950.0,116.48,,60.0,,True,62.52,,Morocco,3/22/26,94.01,March22_1AM
2244090,FLOWY BELTED TRENCH COAT ZW COLLECTION - Ecru | ZARA United States,GENERAL,Ecru,179.0,,86.0,True,10950.0,116.48,,86.0,,True,62.52,14% polyester | 14% RCS-certified recycled polyester,Morocco,3/22/26,94.01,March22_1AM
9942075,Z1975 LOW RISE WIDE LEG JEANS - Light blue | ZARA United States,GENERAL,Light blue,35.94,59.9,-40.0,True,1950.0,20.74,2950.0,-33.0,33.9,True,15.2,Composition: 100% cotton,,3/22/26,94.01,March22_1AM
8490300,PLEATED WIDE LEG PANTS ZW COLLECTION - Brown-Blue | ZARA United States,GENERAL,Brown-Blue,79.9,,63.0,True,4350.0,46.27,,63.0,,True,33.63,"Composition: 63% polyester, 34% viscose, 3% elastane | 63% polyester | 63% RCS-certified recycled polyester",Morocco,3/22/26,94.01,March22_1AM
2090098,SATIN EFFECT BOW JUMPSUIT ZW COLLECTION - Ivory | ZARA United States,GENERAL,Ivory,99.9,,100.0,True,5550.0,59.04,,100.0,,True,40.86,Composition: 100% polyester | 100% polyester | 100% RCS-certified recycled polyester,Morocco,3/22/26,94.01,March22_1AM
4387072,LINEN BLEND POLO COLLAR BLOUSE - White | ZARA United States,GENERAL,White,49.9,,55.0,True,2550.0,27.12,,55.0,,True,22.78,"Composition: 55% linen, 45% viscose | 55% linen",Morocco,3/22/26,94.01,March22_1AM
1500201,ZW COLLECTION SATIN EFFECT LACE BODYSUIT - Oyster-white | ZARA United States,GENERAL,Oyster-white,79.9,,93.0,True,4350.0,46.27,,93.0,,True,33.63,93% polyester | 100% polyester | 100% cotton,China,3/22/26,94.01,March22_1AM
3090110,REGULAR FIT 100% LINEN SHIRT - Light beige | ZARA United States,GENERAL,Light beige,69.9,,100.0,True,3950.0,42.02,,100.0,,True,27.88,REGULAR FIT 100% LINEN SHIRT | Composition: 100% linen | / REGULAR FIT 100% LINEN SHIRT | 100% linen,Bangladesh,3/22/26,94.01,March22_1AM
5070904,100% LINEN RELAXED FIT SHIRT - Light beige | ZARA United States,GENERAL,Light beige,69.9,,100.0,True,3950.0,42.02,,100.0,,True,27.88,100% LINEN RELAXED FIT SHIRT | Composition: 100% linen | / 100% LINEN RELAXED FIT SHIRT | 100% linen,Bangladesh,3/22/26,94.01,March22_1AM
