Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,time,Source File
7950609,DOUBLE LAYER MODAL T-SHIRT - Gray marl | ZARA United States,GENERAL,Gray marl,14.9,,49.0,True,750.0,8.06,,49.0,,True,6.84,"Composition: 50% modal, 47% cotton, 3% elastane | 47% cotton",Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
9007619,DOUBLE CONTRAST TOP - White | ZARA United States,GENERAL,White,9.9,,95.0,True,550.0,5.91,,95.0,,True,3.99,95% cotton | 85% cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
9006650,SHORT RIBBED LEGGINGS - Yellow | ZARA United States,GENERAL,Yellow,8.9,,95.0,True,450.0,4.83,,95.0,,True,4.07,"Composition: 95% cotton, 5% elastane | 95% cotton",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
4424616,RIBBED RACERBACK T-SHIRT - Bluish | ZARA United States,GENERAL,Bluish,9.9,,95.0,True,550.0,5.91,,95.0,,True,3.99,"Composition: 95% cotton, 5% elastane | 95% cotton | 95% OCS certified organically grown cotton",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
4424615,RIBBED RACERBACK SHIRT - White | ZARA United States,GENERAL,White,9.9,,95.0,True,550.0,5.91,,95.0,,True,3.99,"Composition: 95% cotton, 5% elastane | 95% cotton | 95% OCS certified organically grown cotton",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
1716602,BASIC SHORTS - Sand / Marl | ZARA United States,GENERAL,Sand / Marl,12.9,,99.0,True,750.0,8.06,,99.0,,True,4.84,"Composition: 99% cotton, 1% viscose | 99% cotton",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
5048607,BASIC RAGLAN SLEEVE T-SHIRT - Pink | ZARA United States,GENERAL,Pink,12.9,,100.0,True,650.0,6.98,,100.0,,True,5.92,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
5048602,BASIC SHORTS - Sand / Marl | ZARA United States,GENERAL,Sand / Marl,12.9,,99.0,True,750.0,8.06,,99.0,,True,4.84,"Composition: 99% cotton, 1% viscose | 99% cotton",Bangladesh,2026-04-04,93.1,16:03:53,kids2_girlnew
4333602,LONG HANDKERCHIEF JUMPSUIT - Black | ZARA United States,GENERAL,Black,35.9,,88.0,True,1950.0,20.95,,88.0,,True,14.95,"Composition: 88% polyester, 12% elastane | 88% polyester",Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
6201601,DRAWSTRING FLOWER SWEATSHIRT - Ecru | ZARA United States,GENERAL,Ecru,25.9,,81.0,True,1550.0,16.65,,81.0,,True,9.25,81% cotton | 19% polyester | 97% cotton | 19% RCS-certified recycled polyester | 81% OCS certified organically grown cotton | 97% OCS certified organically grown cotton,Turkey,2026-04-04,93.1,16:03:53,kids2_girlnew
