Product_ID,name,Category,colour_from_title,US_price_current_usd,US_price_original_usd,US_discount_pct_display,US_on_sale,IN_price_current_inr,IN_price_current_usd,IN_price_original_inr,IN_discount_pct_display,IN_discount_pct_calc,IN_on_sale,Savings_USD,materials_text,made_in,date,exchange_rate,Source File
4410120,100% LINEN POCKET JACKET - Navy blue | ZARA United States,GENERAL,Navy blue,129.0,,100,True,7550.0,80.65,,100.0,,True,48.35,100% LINEN POCKET JACKET | 100% linen | 100% cotton | / 100% LINEN POCKET JACKET | 100% certified European grown linen,Bangladesh,2026-03-22,93.62,men_new
7545938,REGULAR FIT COTTON SHIRT - Dark yellow | ZARA United States,GENERAL,Dark yellow,69.9,,100,True,3950.0,42.19,,100.0,,True,27.71,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,Turkey,2026-03-22,93.62,men_new
706706,RELAXED FIT COTTON - LINEN PANTS - Mink | ZARA United States,GENERAL,Mink,99.9,,79,True,5550.0,59.28,,79.0,,True,40.62,"Composition: 79% cotton, 21% linen | 79% cotton | 21% linen | 79% OCS certified organically grown cotton",Turkey,2026-03-22,93.62,men_new
12442720,CASUAL LEATHER BOAT SHOES - Taupe Gray | ZARA United States,GENERAL,Taupe Gray,99.9,,100,True,5950.0,63.55,,100.0,,True,36.35,100% polyester | 100% RCS-certified recycled polyester,China,2026-03-22,93.62,men_new
4175336,100% LINEN TEXTURED WEAVE BLAZER - Dark olive | ZARA United States,GENERAL,Dark olive,229.0,,100,True,13950.0,149.01,,100.0,,True,79.99,100% LINEN TEXTURED WEAVE BLAZER | 100% linen | 62% cotton | 38% polyester | 95% polyester | / 100% LINEN TEXTURED WEAVE BLAZER | 100% certified European grown linen | 95% RCS-certified recycled polyester | 38% RCS-certified recycled polyester | 62% OCS certified organically grown cotton,Morocco,2026-03-22,93.62,men_new
5755460,LIGHTWEIGHT COTTON KNIT T-SHIRT - Oyster-white | ZARA United States,GENERAL,Oyster-white,49.9,,100,True,2550.0,27.24,,100.0,,True,22.66,Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,China,2026-03-22,93.62,men_new
4215347,CROPPED FIT 100% LINEN OVERSHIRT - taupe brown | ZARA United States,GENERAL,taupe brown,179.0,,100,True,10950.0,116.96,,100.0,,True,62.04,CROPPED FIT 100% LINEN OVERSHIRT | 100% linen | 62% cotton | 38% polyester | 95% polyester | / CROPPED FIT 100% LINEN OVERSHIRT | 100% certified European grown linen | 62% OCS certified organically grown cotton | 38% RCS-certified recycled polyester | 95% RCS-certified recycled polyester,Morocco,2026-03-22,93.62,men_new
4216347,100% LINEN BALLOON FIT PANTS - taupe brown | ZARA United States,GENERAL,taupe brown,119.0,,100,True,6550.0,69.96,,100.0,,True,49.04,100% LINEN BALLOON FIT PANTS | Composition: 100% linen | / 100% LINEN BALLOON FIT PANTS | 100% linen | 100% certified European grown linen,Morocco,2026-03-22,93.62,men_new
12601720,LEATHER LOAFERS - Black | ZARA United States,GENERAL,Black,99.9,,100,True,,,,,,,,,China,2026-03-22,93.62,men_new
706520,FLUID VISCOSE - LINEN SHIRT - Oyster-white | ZARA United States,GENERAL,Oyster-white,69.9,,65,True,3950.0,42.19,,65.0,,True,27.71,"Composition: 65% viscose, 35% linen | 35% linen",Turkey,2026-03-22,93.62,men_new
