feature,coefficient,abs_coefficient
cat__materials_text_56% polyester | 44% cotton | 100% cotton,-0.11177368088005957,0.11177368088005957
cat__materials_text_86% polyester | 100% polyester,-0.11111553356157611,0.11111553356157611
"cat__materials_text_Composition: 97% cotton, 3% elastane | 97% cotton | 97% OCS certified organically grown cotton",0.10968641302972601,0.10968641302972601
"cat__materials_text_Relaxed fit pants made from 23% wool fabric. Front pockets and back double-welt pockets with button. Front zip and button closure. | Composition: 60% polyester, 23% wool, 17% viscose | 60% polyester | 23% wool | 23% RWS certified wool | 60% RCS-certified recycled polyester",-0.10868938894533475,0.10868938894533475
cat__colour_from_title_Light blue,0.10831357035736737,0.10831357035736737
cat__colour_from_title_Ecru / Red,0.10819658525254124,0.10819658525254124
cat__materials_text_98% cotton | 100% polyester | 100% RCS-certified recycled polyester,0.10819658525254124,0.10819658525254124
"cat__materials_text_Jogger pants with elastic waistband. Front pockets. Text print and elastic hem. 62% cotton fabric. | Composition: 75% cotton, 25% polyester | 75% cotton | 25% polyester | 50% RCS-certified recycled cotton | 25% RCS-certified recycled polyester | 25% OCS certified organically grown cotton",-0.10653016630635032,0.10653016630635032
cat__colour_from_title_Maroon,-0.10653016630635032,0.10653016630635032
"cat__materials_text_Composition: 50% modal, 47% cotton, 3% elastane | 47% cotton",0.10649852945813183,0.10649852945813183
cat__colour_from_title_Taupe Gray,-0.10434070639070707,0.10434070639070707
cat__Source File_comparison_outerwear.html,-0.10340763555787826,0.10340763555787826
cat__materials_text_64% polyester | 64% RCS-certified recycled polyester,-0.10193976612328638,0.10193976612328638
cat__colour_from_title_Mid-ecru,-0.10174076519713023,0.10174076519713023
num__US_price_current_usd,0.10154522509367069,0.10154522509367069
cat__materials_text_100% cotton | 90% polyester | 90% RCS-certified recycled polyester | 100% OCS certified organically grown cotton,0.10153347141525135,0.10153347141525135
cat__Source File_comparison_boyshirts,0.10110456570286425,0.10110456570286425
"cat__materials_text_Composition: 82% cotton, 9% viscose, 9% lyocell | 82% cotton | 52% OCS certified organically grown cotton | 30% RCS-certified recycled cotton",-0.10097589816082159,0.10097589816082159
"cat__materials_text_Composition: 55% linen, 45% cotton | 55% linen | 45% cotton | 45% RCS-certified recycled cotton",-0.10087280758176871,0.10087280758176871
cat__colour_from_title_Midnight blue,-0.09695637406279213,0.09695637406279213
"cat__materials_text_Composition: 94% cotton, 4% elastomultiester, 2% elastane | 94% cotton",-0.09680957276161875,0.09680957276161875
cat__materials_text_100% polyester | 100% cotton | 100% RCS-certified recycled polyester | 100% OCS certified organically grown cotton,0.0964915152298043,0.0964915152298043
cat__materials_text_100% cotton | 66% polyester | 34% cotton | 100% polyester | 100% RCS-certified recycled cotton | 34% OCS certified organically grown cotton | 66% RCS-certified recycled polyester | 100% RCS-certified recycled polyester,0.09566497809652205,0.09566497809652205
"cat__materials_text_Composition: 50% polyester, 34% viscose, 16% polyamide | 50% polyester | 50% RCS-certified recycled polyester",-0.09369295571399713,0.09369295571399713
"cat__materials_text_Composition: 86% linen, 14% polyamide | 86% linen",-0.09278264184297735,0.09278264184297735
"cat__materials_text_Composition: 58% cotton, 42% polyester | 58% cotton | 42% polyester | 42% RCS-certified recycled polyester | 58% OCS certified organically grown cotton",0.09242461935973796,0.09242461935973796
cat__materials_text_Composition: 100% cotton | 100% cotton | 100% OCS certified organically grown cotton,0.0921522118091119,0.0921522118091119
cat__materials_text_52% wool | 43% polyester | 68% polyester | 32% cotton | 43% RCS-certified recycled polyester | 52% RCS-certified recycled wool,-0.09175456062707366,0.09175456062707366
cat__colour_from_title_Red,0.09158623193799231,0.09158623193799231
"cat__materials_text_COMPOSITION: 84% POLYESTER, 16% ELASTANE | 84% polyester | 84% RCS-certified recycled polyester",-0.09140906384874171,0.09140906384874171
cat__colour_from_title_Multicolored,-0.09126610758480315,0.09126610758480315
"cat__materials_text_Composition: 91% modal, 9% polyester | 9% polyester",0.09105082932405431,0.09105082932405431
cat__Category_WOMAN,-0.09063667920309307,0.09063667920309307
"cat__materials_text_Composition: 52% viscose, 48% linen | 48% linen",-0.0894611740038763,0.0894611740038763
num__Savings_USD,-0.0869268406389907,0.0869268406389907
cat__materials_text_51% polyester | 49% cotton | 100% cotton,-0.086534962756476,0.086534962756476
cat__materials_text_62% polyester | 62% RCS-certified recycled polyester,-0.08475236622747069,0.08475236622747069
cat__Source File_comparison_girldresses,-0.08465482622090884,0.08465482622090884
cat__materials_text_82% polyester | 100% polyester | 82% RCS-certified recycled polyester,0.08464742441774929,0.08464742441774929
"cat__materials_text_Composition: 53% linen, 47% viscose | 53% linen | 53% certified European grown linen",-0.08363728889311164,0.08363728889311164
"cat__materials_text_Composition: 95% cotton, 5% elastane | 95% cotton",0.08284533143707772,0.08284533143707772
cat__Source File_comparison_boytrousers,-0.08234938514291028,0.08234938514291028
"cat__materials_text_Composition: 59% linen, 41% cotton | 59% linen | 41% cotton | 59% certified European grown linen | 41% OCS certified organically grown cotton",0.08197082873417068,0.08197082873417068
cat__materials_text_50% wool | 45% polyester | 100% polyester | 36% RCS-certified recycled polyester | 50% RCS-certified recycled wool,-0.08157076737713961,0.08157076737713961
cat__materials_text_COMPOSITION: 100% COTTON | 100% cotton,0.08040895092957243,0.08040895092957243
cat__Source File_comparison_shirtsl765.html,0.08032623376523572,0.08032623376523572
"cat__materials_text_Composition: 87% lyocell, 13% polyester | 13% polyester",0.0791565971417915,0.0791565971417915
cat__materials_text_100% LINEN SUIT PANTS | Composition: 100% linen | / 100% LINEN SUIT PANTS | 100% linen | 100% certified European grown linen,0.07861482936615792,0.07861482936615792
cat__colour_from_title_Silver,-0.07790032624648556,0.07790032624648556
cat__colour_from_title_Pink,0.07630548451101117,0.07630548451101117
"cat__materials_text_Composition: 89% viscose, 11% polyester | 11% polyester",0.07619838103981623,0.07619838103981623
"cat__materials_text_Composition: 88% polyester, 12% elastane | 88% polyester | 88% RCS-certified recycled polyester",0.07503553457823431,0.07503553457823431
cat__materials_text_54% polyester | 100% polyester | 95% polyester | 54% RCS-certified recycled polyester | 100% RCS-certified recycled polyester | 95% RCS-certified recycled polyester,-0.0743204236055296,0.0743204236055296
cat__materials_text_100% polyester | 100% cotton | 100% OCS certified organically grown cotton | 100% RCS-certified recycled polyester,0.07404188874480903,0.07404188874480903
"cat__materials_text_Composition: 68% polyester, 18% viscose, 14% wool | 68% polyester | 14% wool | 14% RCS-certified recycled wool | 68% RCS-certified recycled polyester",-0.07356844430364981,0.07356844430364981
cat__materials_text_63% cotton | 100% polyester | 63% RCS-certified recycled cotton | 100% RCS-certified recycled polyester,0.073397973602504,0.073397973602504
cat__materials_text_48% linen | 55% polyester | 65% cotton | 35% polyester,-0.07337887176245528,0.07337887176245528
cat__materials_text_81% cotton | 19% polyester | 97% cotton | 19% RCS-certified recycled polyester | 81% OCS certified organically grown cotton | 97% OCS certified organically grown cotton,-0.07314719804031726,0.07314719804031726
cat__materials_text_100% polyester | 97% polyester | 100% RCS-certified recycled polyester | 97% RCS-certified recycled polyester,0.07266063016359861,0.07266063016359861
cat__materials_text_100% LINEN RELAXED FIT SHIRT | Composition: 100% linen | / 100% LINEN RELAXED FIT SHIRT,0.07240541120320124,0.07240541120320124
"cat__materials_text_Composition: 68% polyester, 24% viscose, 8% elastane | 68% polyester | 68% RCS-certified recycled polyester",-0.07202687371705105,0.07202687371705105
