feature,coefficient,abs_coefficient
name_Textured Top,0.00010143555202961787,0.00010143555202961787
colour_from_title_Dark fuchsia,-0.00010129878130645557,0.00010129878130645557
name_PLAID SHIRT DRESS - Brown-Blue | ZARA United States,9.88924140552387e-05,9.88924140552387e-05
name_POINTED TOE SLINGBACK BALLET FLATS - Black | ZARA United States,-9.83793154682289e-05,9.83793154682289e-05
"materials_text_Composition: 52% linen, 48% cotton | 52% linen | 48% cotton | 48% RCS-certified recycled cotton",9.561849469704455e-05,9.561849469704455e-05
colour_from_title_Light blue,-9.52524221004217e-05,9.52524221004217e-05
materials_text_64% polyester | 64% RCS-certified recycled polyester,9.47886261903944e-05,9.47886261903944e-05
materials_text_Composition: 100% cotton | 100% cotton | 100% RCS-certified recycled cotton,-9.360945090484222e-05,9.360945090484222e-05
colour_from_title_Gray,9.275859866845896e-05,9.275859866845896e-05
name_Everyday Jacket,-9.125542695123892e-05,9.125542695123892e-05
colour_from_title_Sand,-8.990020403831035e-05,8.990020403831035e-05
materials_text_96% polyester | 100% polyester | 100% RCS-certified recycled polyester | 96% RCS-certified recycled polyester,-8.807660664589063e-05,8.807660664589063e-05
colour_from_title_Red / White,-8.799218938029544e-05,8.799218938029544e-05
colour_from_title_white,8.785196838373774e-05,8.785196838373774e-05
name_SHORT Printed DOT DRESS - Red / White | ZARA United States,8.763051458175156e-05,8.763051458175156e-05
name_POINTELLE KNIT CROP TOP - Ecru | Cotton United States,8.69492747366179e-05,8.69492747366179e-05
name_PATCHWORK MINI BUCKET BAG - Denim Blue | ZARA United Ribbed,8.621131452357374e-05,8.621131452357374e-05
name_Oversized Shirt,-8.355759051768038e-05,8.355759051768038e-05
name_STRETCH FLARE PANTS - Black | ZARA United States,-8.258221353323438e-05,8.258221353323438e-05
"materials_text_Composition: 62% polyester, 38% cotton, 0% viscose | 62% polyester | 38% cotton",-8.179618065862353e-05,8.179618065862353e-05
"materials_text_Composition: 91% modal, 9% polyester | 9% polyester",8.112733634955526e-05,8.112733634955526e-05
name_Pleated Top,-7.966449296081015e-05,7.966449296081015e-05
name_PLATFORM SANDALS - Black | ZARA United States,7.857421218128143e-05,7.857421218128143e-05
name_PUFF SLEEVE BLAZER - Brown | ZARA United States,7.596797402638074e-05,7.596797402638074e-05
colour_from_title_Dark khaki,7.573403616821761e-05,7.573403616821761e-05
name_Cotton Jeans,7.520759793160263e-05,7.520759793160263e-05
name_PINCH PLEAT TOTE BAG - Dark Contrast | ZARA United States,-7.42573272849964e-05,7.42573272849964e-05
name_ZW COLLECTION COMBINATION MIDI SKIRT - Ecru | ZARA United States,7.35669321860558e-05,7.35669321860558e-05
Source File_comparison_shoes,-7.340814736168423e-05,7.340814736168423e-05
name_GINGHAM CHECK SHIRT DRESS ZW COLLECTION - Green | ZARA United States,7.305397683079944e-05,7.305397683079944e-05
name_PENCIL MIDI SKIRT - Tobacco | ZARA United States,-7.270480908183267e-05,7.270480908183267e-05
colour_from_title_Ivory,7.257676703302353e-05,7.257676703302353e-05
colour_from_title_Burgundy,-7.235374611928025e-05,7.235374611928025e-05
